product_id,product_name,category,region,quantity_sold,unit_price,date
PROD_1001,Headphones,Electronics,Mumbai,52.0,112984.266445804,2024-04-09
PROD_1002,Monitor,Accessories,Bangalore,38.0,106193.57895589713,2024-05-25
PROD_1003,Keyboard,Electronics,Mumbai,97.0,116896.50488808728,2024-02-03
PROD_1004,Headphones,Accessories,Delhi,88.0,21897.633839496208,2024-05-02
PROD_1005,Tablet,Electronics,Pune,79.0,31079.41667883476,2024-07-09
PROD_1006,Keyboard,Electronics,Pune,,107252.58029243031,2024-09-24
PROD_1007,Keyboard,Accessories,Chennai,51.0,74350.23232606397,2024-01-02
PROD_1008,Headphones,Electronics,Mumbai,81.0,113317.97613308743,2024-06-19
PROD_1009,Smartphone,Electronics,Delhi,5.0,15885.94659624968,2024-04-18
PROD_1010,Tablet,Electronics,Chennai,29.0,80703.96204694691,2024-11-07
PROD_1011,Headphones,Accessories,Bangalore,4.0,57133.8240507589,2024-09-18
PROD_1012,Tablet,Accessories,Chennai,10.0,68821.53278261091,2024-08-03
PROD_1013,Tablet,Electronics,Chennai,56.0,90791.70187484063,2024-04-11
PROD_1014,Keyboard,Electronics,Mumbai,17.0,75592.10794564825,2024-11-28
PROD_1015,Monitor,Electronics,Bangalore,74.0,81209.16524836909,2024-01-17
PROD_1016,Tablet,Electronics,Chennai,17.0,73210.44355834337,2024-02-09
PROD_1017,Mouse,Electronics,Delhi,,61638.798974281235,2024-05-22
PROD_1018,Keyboard,Accessories,Delhi,88.0,115896.35609943765,2024-02-15
PROD_1019,Smartphone,Accessories,Pune,69.0,2324.359311547655,2024-12-15
PROD_1020,Monitor,Accessories,Bangalore,34.0,89967.18383018144,2024-10-18
PROD_1021,Mouse,Accessories,Bangalore,6.0,85043.49792478459,2024-04-04
PROD_1022,Mouse,Accessories,Pune,53.0,107568.77167257635,2024-08-02
PROD_1023,Smartphone,Electronics,Chennai,66.0,90054.89003421032,2024-12-24
PROD_1024,Monitor,Accessories,Bangalore,77.0,124106.42475745721,2024-11-18
PROD_1025,Keyboard,Electronics,Delhi,43.0,143881.68178732216,2024-08-07
PROD_1026,Laptop,Accessories,Delhi,75.0,51707.37644819224,2024-11-25
PROD_1027,Monitor,Electronics,Mumbai,23.0,34488.97196298306,2024-12-27
PROD_1028,Smartphone,Electronics,Bangalore,55.0,63827.73093186219,2024-09-28
PROD_1029,Mouse,Electronics,Chennai,80.0,43545.477663121055,2024-01-24
PROD_1030,Keyboard,Electronics,Pune,95.0,92435.06434132183,2024-05-26
PROD_1031,Monitor,Accessories,Pune,75.0,136821.93512202322,2024-11-01
PROD_1032,Laptop,Electronics,Chennai,16.0,,2024-03-25
PROD_1033,Laptop,Accessories,Mumbai,8.0,15568.793150875032,2024-10-30
PROD_1034,Tablet,Electronics,Pune,4.0,38774.3220121225,2024-02-13
PROD_1035,Tablet,Accessories,Bangalore,4.0,109051.29011632892,2024-01-18
PROD_1036,Headphones,Accessories,Mumbai,56.0,89147.95433619383,2024-05-20
PROD_1037,Smartphone,Electronics,Bangalore,25.0,15780.793301667338,2024-01-14
PROD_1038,Monitor,Accessories,Delhi,67.0,137853.2030779816,2024-12-15
PROD_1039,Monitor,Electronics,Mumbai,96.0,118617.65325005096,2024-10-28
PROD_1040,Headphones,Electronics,Pune,67.0,3941.879415751808,2024-10-19
PROD_1041,Mouse,Electronics,Mumbai,27.0,97879.39804274279,2024-08-17
PROD_1042,Mouse,Electronics,Mumbai,93.0,115801.37694370083,2024-03-19
PROD_1043,Headphones,Electronics,Mumbai,32.0,56478.08777320309,2024-07-08
PROD_1044,Mouse,Electronics,Mumbai,50.0,10803.770135399209,2024-08-06
PROD_1045,Tablet,Accessories,Bangalore,61.0,12059.499290573694,2024-07-10
PROD_1046,Monitor,Electronics,Delhi,51.0,16084.92142474552,2024-04-04
PROD_1047,Headphones,Electronics,Chennai,19.0,126145.72498107323,2024-07-07
PROD_1048,Monitor,Electronics,Mumbai,21.0,136647.5866392291,2024-06-28
PROD_1049,Laptop,Electronics,Pune,5.0,18860.211885937202,2024-12-29
PROD_1050,Tablet,Electronics,Mumbai,82.0,35767.95217196464,2024-11-23
PROD_1051,Keyboard,Accessories,Pune,92.0,25245.31629990982,2024-06-18
PROD_1052,Tablet,Electronics,Bangalore,42.0,28354.971484371043,2024-08-15
PROD_1053,Headphones,Accessories,Pune,61.0,125704.87295587256,2024-09-29
PROD_1054,Keyboard,Electronics,Chennai,22.0,50155.88869191337,2024-01-13
PROD_1055,Laptop,Accessories,Delhi,21.0,47060.917474823356,2024-11-22
